date,energy,impact-e,lat,lat-dir,lon,lon-dir,alt,vel,year,legend
2014-11-04 20:13:30,15.6,0.45,43.1,N,115.8,E,22.2,16.0,2014,"Location: Xilin Gol,CN<br><10 kt<br>2014-11-04 20:13:30"
2014-10-21 18:55:37,3.4,0.12,22.2,N,-132.9,W,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-10-21 18:55:37"
2014-10-17 14:07:36,7.2,0.23,-4.6,S,-66.3,W,39.0,,2014,"Location: N/A,BR<br><10 kt<br>2014-10-17 14:07:36"
2014-10-14 10:25:03,2.9,0.1,-2.0,S,119.2,E,27.2,16.9,2014,"Location: N/A,ID<br><10 kt<br>2014-10-14 10:25:03"
2014-10-06 20:02:15,3.9,0.13,-43.7,S,85.7,E,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-10-06 20:02:15"
2014-09-09 18:55:46,2.8,98.0,3.2,N,137.2,E,32.5,,2014,"Location: N/A,N/A<br>98.0 kt<br>2014-09-09 18:55:46"
2014-09-05 21:37:26,3.5,0.12,22.7,N,-150.0,W,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-09-05 21:37:26"
2014-08-29 23:15:39,2.6,92.0,-6.2,S,-49.9,W,,,2014,"Location: N/A,BR<br>92.0 kt<br>2014-08-29 23:15:39"
2014-08-28 03:07:45,3.4,0.12,3.2,N,-45.4,W,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-08-28 03:07:45"
2014-08-23 06:29:41,381.9,7.6,-61.7,S,132.6,E,22.2,16.2,2014,"Location: N/A,N/A<br><10 kt<br>2014-08-23 06:29:41"
2014-07-29 07:38:07,7.3,0.23,-49.2,S,-172.2,W,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-07-29 07:38:07"
2014-07-29 03:07:43,5.3,0.17,-33.9,S,-115.9,W,,,2014,"Location: N/A,N/A<br><10 kt<br>2014-07-29 03:07:43"
2014-06-28 02:40:07,24.5,0.67,18.9,N,141.2,E,26.3,12.4,2014,"Location: N/A,N/A<br><10 kt<br>2014-06-28 02:40:07"
